lat,lon,soil,
27.55455128,111.6816512,paddy field,
29.80785591,106.3836932,rainfed cropland,
29.40847,106.54745,rainfed cropland,
28.75280943,104.6405977,rainfed cropland,
39.58062837,114.7785612,rainfed cropland,
39.38312816,114.6894136,rainfed cropland,
38.987661,116.0757201,rainfed cropland,
25.77492335,113.0077572,paddy field,
36.47466523,114.4324516,rainfed cropland,
36.78030719,118.0763324,rainfed cropland,
25.35371097,105.1061866,rainfed cropland,
38.804464,115.729653,rainfed cropland,
27.25,112.583333,rainfed cropland,
29.65,111.083333,rainfed cropland,
29.633333,111.133333,rainfed cropland,
29.816667,111.233333,rainfed cropland,
31.02621553,109.3801733,rainfed cropland,
29.86541765,107.7277939,rainfed cropland,
28.65023605,121.2591638,paddy field,
24.40385019,111.5665011,paddy field,
26.42061323,111.6186613,paddy field,
29.20542665,106.147063,paddy field,
27.46727457,103.1537102,paddy field,
29.24854782,121.7146461,paddy field,
30.69670665,111.2853077,paddy field,
29.87250493,121.5256867,paddy field,
28.22187,110.2266,paddy field,
28.94000373,118.8768601,paddy field,
29.59187815,120.8214906,paddy field,
27.99710452,120.6836871,paddy field,
30.28232635,120.1690776,paddy field,
29.86459971,121.5370414,paddy field,
30.8949172,120.0894136,paddy field,
30.9255214,113.9240864,paddy field,
39.90050032,116.4125073,rainfed cropland,
36.54669527,104.1359672,rainfed cropland,
23.029601,113.1179634,rainfed cropland,
36.85688365,118.8173713,rainfed cropland,
25.05997523,118.1841392,rainfed cropland,
31.65426564,120.7582958,paddy field,
24.87506019,118.6794619,paddy field,
34.27256928,108.0840626,rainfed cropland,
26.544472,112.545972,paddy field,
26.615167,112.621583,paddy field,
26.544472,112.621583,paddy field,
26.615167,112.545972,paddy field,
25.7160624,116.7685717,paddy field,
25.07568214,117.0201831,paddy field,
24.51728967,117.6446872,paddy field,
26.07412275,119.2909069,paddy field,
24.87537166,118.6729388,paddy field,
26.64145631,118.1782108,paddy field,
25.45376967,119.0114421,paddy field,
26.66643959,119.550475,paddy field,
31.03897156,112.200633,paddy field,
30.27303609,109.4983127,paddy field,
24.06796181,104.0609401,rainfed cropland,
39.96731,116.33451,rainfed cropland,
28.25182,113.08755,paddy field,
19.98849761,110.3512308,paddy field,
30.30541358,103.6860364,paddy field,
27.27396278,114.7085599,paddy field,
21.49575,109.43916,paddy field,
26.574797,112.598167,paddy field,
25.583333,113,paddy field,
29.633333,110.016667,paddy field,
24.71968891,107.6089016,paddy field,
