Station,Lon,Lat,data
59081,113.16,24.47,186.9666667
59034,108.4,24.29,186.9
59227,107.09,23.05,186.6333333
59058,110.31,24.12,186.4666667
59031,108.15,24.5,186.4
59072,112.23,24.47,185.8333333
59027,107.15,24.08,185.3666667
59071,112.17,24.43,185.2333333
58748,119.39,27.06,185.0666667
56949,99.36,22.19,184.9333333
59052,110.49,24.5,184.5333333
57996,114.19,25.08,184.3
58917,116.06,25.06,184.2666667
59064,111.19,24.33,184.0666667
56838,97.51,24.01,183.7666667
59055,110.24,24.3,183.5333333
57989,113.44,25.06,183.4
59099,114.56,24.27,183.3
59025,107.22,24.31,183.1666667
59090,114.04,24.57,183.1333333
58921,117.21,25.58,183
58834,118.1,26.38,182.8666667
57988,113.21,25.09,182.7333333
59051,110.3,24.46,182.7
57916,106.46,25.26,182.5
56952,100.42,23.3,181.8
57948,109.15,25.05,181.7666667
56954,99.56,22.34,181.6666667
57906,106.05,25.11,181.6
58828,117.37,26.16,181.1333333
58905,115.25,25.58,181.1
57954,110.11,25.14,181.0666667
59044,109.23,24.28,180.9666667
59205,105.38,23.39,180.5
59061,111.16,24.49,180.2666667
57909,105.49,24.59,180.1666667
56948,99.36,22.38,179.3
58837,118.09,26.1,179.2333333
57995,114.56,25.24,179.1666667
56975,102.26,23.22,179.1
59021,107.02,24.33,179.1
59218,106.25,23.08,179.0666667
57949,110,24.59,178.8333333
59004,105.06,24.3,178.7666667
58754,120.12,27.2,178.7333333
59215,106.37,23.2,178.1333333
57957,110.18,25.19,178.0333333
58752,120.39,27.47,177.9666667
58826,117.48,26.24,177.9666667
58656,120.58,28.07,177.7333333
58659,120.39,28.02,177.7333333
56673,102.55,26.55,177.3
58923,117.5,25.42,177.1666667
59033,108.54,24.47,176.9666667
58760,121.09,27.5,176.8666667
57947,109.24,25.13,176.5666667
57958,110.19,25.05,176.5
58821,117.28,26.44,176.4333333
57992,114.45,25.4,176.0666667
59092,114.49,24.55,175.6666667
57993,115,25.52,175.5666667
58666,121.54,28.27,175.4666667
58836,118.44,26.35,175.4
57956,110.19,25.25,175.1333333
58751,120.34,27.41,175.0333333
58912,116.45,25.43,175.0333333
59001,105.2,24.47,175
58906,115.48,25.36,174.9666667
56763,101.52,25.44,174.6333333
59209,105.5,23.25,174.6
57990,114.18,25.42,174.4
57991,114.33,25.48,174.2333333
58737,118.19,27.03,174.0666667
58804,115.21,26.21,173.9666667
56844,98.35,24.26,173.7333333
59093,115.02,24.47,173.7
59102,115.39,24.57,173.7
58935,118.14,25.29,173.5333333
58903,116.02,25.54,173.1333333
58736,118.49,27.22,173.0333333
56977,101.51,22.35,172.7333333
58823,117.48,26.48,172.5666667
59063,111.27,25.11,172.1666667
58658,120.41,28.09,172
58667,121.16,28.05,171.9666667
57965,111.36,25.32,171.9333333
57926,107.53,25.25,171.5666667
56982,103.15,23.42,171.5333333
56958,100.25,21.55,171.3666667
56867,101.06,24,171.3333333
59091,114.32,24.45,170.9333333
59074,112.09,24.34,170.6666667
58665,121.25,28.37,170.6
58806,116.01,26.29,170.2666667
58664,121.22,28.22,170.2333333
56950,99.48,23.28,170
57976,112.57,25.25,170
57936,108.54,25.45,169.9333333
57896,114.3,26.2,169.7666667
57994,114.21,25.24,169.6666667
56836,97.57,24.42,169.4666667
56688,103.1,26.06,169.3
57932,108.32,25.58,169.2
58907,115.24,25.09,169
57966,111.57,25.36,168.7
56964,100.58,22.47,168.3
58657,120.17,28.09,168.0333333
58911,116.22,25.51,167.9
56854,100.08,24.27,167.5333333
56643,98.51,25.52,167.4333333
58484,122.12,30.15,167.4
58813,116.2,26.51,167.2666667
56985,103.23,23.23,167.2
58570,122.18,29.57,167.1
57899,114.55,26.48,166.9666667
57974,112.22,25.35,166.6333333
58745,119.04,27.37,166.6333333
57969,111.2,25.16,166.5333333
58750,120.05,27.47,166.5
58814,116.21,26.21,166.4666667
58824,117.09,26.24,166.4
57960,111.04,25.56,166.2
58735,118.48,27.31,166.1666667
57955,110.4,25.37,166.1333333
57971,112.12,25.55,166.1
58472,122.27,30.44,166
57923,107.52,25.59,165.7666667
57868,111.52,26.36,165.6666667
56946,99.24,23.33,165.5666667
58660,121.08,28.51,165.5333333
57972,113.02,25.48,165.2333333
58626,117.13,28.18,165.2333333
56666,101.43,26.35,165.1333333
57975,112.12,25.23,164.9
56994,104.15,23.23,164.7666667
56961,101.03,23.02,164.7
57865,111.34,26.25,164.7
57895,114.47,26.28,164.6666667
57942,110,25.48,164.6666667
58707,115.08,27.13,164.5666667
56996,104.42,23.08,164.3666667
56987,103.14,22.47,164.2333333
57941,109.36,25.47,164.2333333
58563,121.45,29.58,164.1666667
56839,98.58,24.04,164.1333333
